,precision,recall,f1-score,support
Positive,0.8868907734750179,0.8666999500748876,0.8766791233208767,10015.0
Negative,0.8692842455693723,0.8891337005508262,0.879096940291118,9985.0
accuracy,0.8779,0.8779,0.8779,0.8779
macro avg,0.8780875095221952,0.8779168253128569,0.8778880318059974,20000.0
weighted avg,0.8781007144181243,0.8779,0.8778862184432695,20000.0
no. of reviews,50000.0,50000.0,50000.0,50000.0
no. of docs,30000.0,30000.0,30000.0,30000.0
no. of words in vocabulary,5245977.0,5245977.0,5245977.0,5245977.0
