,precision,recall,f1-score,support
Positive,0.6582979368932039,0.8666000998502247,0.748221906116643,10015.0
Negative,0.8039906103286385,0.5488232348522785,0.6523421224927087,9985.0
accuracy,0.70795,0.70795,0.70795,0.70795
macro avg,0.7311442736109213,0.7077116673512516,0.7002820143046758,20000.0
weighted avg,0.7310350041058445,0.70795,0.7003539241423937,20000.0
no. of reviews,50000.0,50000.0,50000.0,50000.0
no. of docs,30000.0,30000.0,30000.0,30000.0
no. of words in vocabulary,4715151.0,4715151.0,4715151.0,4715151.0
