,precision,recall,f1-score,support
Positive,0.8949554294975689,0.8821767348976535,0.8885201387841304,10015.0
Negative,0.8834913112164297,0.8961442163244867,0.88977278377169,9985.0
accuracy,0.88915,0.88915,0.88915,0.88915
macro avg,0.8892233703569993,0.88916047561107,0.8891464612779102,20000.0
weighted avg,0.8892319684457101,0.88915,0.8891455217941695,20000.0
no. of reviews,50000.0,50000.0,50000.0,50000.0
no. of docs,30000.0,30000.0,30000.0,30000.0
no. of words in vocabulary,5245977.0,5245977.0,5245977.0,5245977.0
